"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon May 18 21:00:56 UTC 2026","Mon May 18 21:00:56 UTC 2026","131","","TC-062: Запрос post с плохим query-параметром/символом","","org.izuum.jsonPlaceholder.apiTests.negativeReadTests.GetPostWithBadQueryParamOrSymbolTest","checkClientCorrectRequest","TC-062: Клиент корректно кодирует запрос",""
"passed","Mon May 18 21:00:45 UTC 2026","Mon May 18 21:00:45 UTC 2026","74","","TC-002: Получение конкретного post по id","","org.izuum.jsonPlaceholder.apiTests.smokeTests.GetPostByIdTest","getRequestCheckStatusCode","TC-002: Статус-код 200",""
"passed","Mon May 18 21:00:42 UTC 2026","Mon May 18 21:00:42 UTC 2026","105","","Проверка структуры объектов на каждом эндпоинте","","org.izuum.jsonPlaceholder.apiTests.structureAndTypeTests.CheckStructureOfObjectsTest","checkStructureOfGeo","TC-020: Проверка структуры geo у объекта user.address",""
"passed","Mon May 18 21:00:52 UTC 2026","Mon May 18 21:00:52 UTC 2026","91","","TC-70: Создание post с полем userId как строкой вместо числа","","org.izuum.jsonPlaceholder.apiTests.createResources.CreatePostWithUserIdAsStringTest","checkThatMockResponseNotBreakParsingClient","TC-070: Проверка, что типы в mock-response не ломают парсинг клиента",""
"passed","Mon May 18 21:01:00 UTC 2026","Mon May 18 21:01:00 UTC 2026","133","","TC-032: Фильтрация users по id","","org.izuum.jsonPlaceholder.apiTests.filterQueryParamTests.FilteringUsersByIdTest","getRequestCheckStatusCode","TC-032: Статус-код 200",""
"passed","Mon May 18 21:00:50 UTC 2026","Mon May 18 21:00:50 UTC 2026","154","","TC-071: Создание comments с полями postId, name, email, body","","org.izuum.jsonPlaceholder.apiTests.createResources.CreateCommentWithFieldsTest","checkThatJsonResponseIsCorrect","TC-071: Провера JSON-ответа на корректность",""
"passed","Mon May 18 21:00:45 UTC 2026","Mon May 18 21:00:46 UTC 2026","72","","TC-002: Получение конкретного post по id","","org.izuum.jsonPlaceholder.apiTests.smokeTests.GetPostByIdTest","getRequestCheckResponseIsAnObject","TC-002: Ответ является объектом",""
"passed","Mon May 18 21:00:40 UTC 2026","Mon May 18 21:00:40 UTC 2026","120","","TC-077: Отправка put-запроса с пустым body","","org.izuum.jsonPlaceholder.apiTests.fullReplaceData.SendPutRequestWithEmptyBodyTest","checkThatStatusCodeNotServerError","TC-077: Статус-код не 5хх",""
"passed","Mon May 18 21:00:42 UTC 2026","Mon May 18 21:00:42 UTC 2026","104","","TC-039: Получить comments вложенного ресурса для post","","org.izuum.jsonPlaceholder.apiTests.nestedRoutesTests.GetCommentsOfNestedResourcesForPostTest","checkThatEveryElementsHasPostIdIsOne","TC-039: Каждый элемент имеет postId=1",""
"passed","Mon May 18 21:00:58 UTC 2026","Mon May 18 21:00:58 UTC 2026","66","","TC-038: Пустое значение query-параметра","","org.izuum.jsonPlaceholder.apiTests.filterQueryParamTests.EmptyValueOfQueryParamTest","checkThatServiceNotFall","TC-038: Сервис не падает",""
"passed","Mon May 18 21:00:48 UTC 2026","Mon May 18 21:00:48 UTC 2026","73","","TC-011: Получение коллекции users","","org.izuum.jsonPlaceholder.apiTests.smokeTests.GetCollectionOfUsersTest","getRequestCheckStatusCode","TC-011: Статус-код 200",""
